#Date,Account,Amount
-,Automotive:Fuel: Bethaney,-10.08
2019.06.06,1. Family Checking,-28.48
-,Expenditures:Pet Care,-28.48
2019.08.01,1. Family Checking,-97.67
2019.01.29,1. Family Checking,-74.95
2019.05.29,1. Family Checking,-2.7
-,Expenditures:Dining,-2.7
2019.08.07,1. Family Checking,-24.71
-,Expenditures:General Merchandise,-24.71
2019.08.07,1. Family Checking,-18.92
-,Expenditures:Dining,-18.92
2019.02.25,1. Family Checking,-18.01
-,Automotive:Fuel: Nick,-18.01
2019.09.20,1. Family Checking,-63.59
-,Expenditures:General Merchandise,-63.59
2019.02.15,1. Family Checking,-43
2019.01.21,1. Family Checking,-61.27
-,Expenditures:Groceries,-61.27
2019.03.09,1. Family Checking,-24.2
-,Automotive:Fuel: Nick,-24.2
2019.09.20,1. Family Checking,-28
-,Automotive:Fuel: Bethaney,-28
2019.10.20,1. Family Checking,-100
2019.06.01,1. Family Checking,-25
2019.04.23,1. Family Checking,-13.5
-,Automotive:Fuel: Bethaney,-13.5
2019.09.28,1. Family Checking,-100
2019.07.20,1. Family Checking,-36.37
-,Expenditures:Dining,-36.37
2019.10.19,1. Family Checking,-10.57
-,Expenditures:General Merchandise,-10.57
2019.04.23,1. Family Checking,-29.66
-,Expenditures:General Merchandise,-29.66
2019.08.15,1. Family Checking,-24.69
-,Education:Sports,-24.69
2019.02.20,1. Family Checking,-14.71
-,Expenditures:Groceries,-14.71
2019.11.29,1. Family Checking,-59.48
-,Expenditures:General Merchandise,-59.48
2019.02.15,1. Family Checking,-218.8
-,Expenditures:Groceries,-218.8
2019.11.13,1. Family Checking,-5.84
-,Expenditures:Dining,-5.84
2019.06.03,1. Family Checking,-20.33
-,Automotive:Fuel: Nick,-20.33
2019.09.24,1. Family Checking,-2.96
2019.09.07,1. Family Checking,-30
-,Expenditures:ATM Withdrawal,-30
2019.04.28,1. Family Checking,-156.86
-,Expenditures:Groceries,-156.86
2019.10.25,1. Family Checking,-2.39
-,Expenditures:General Merchandise,-2.39
2019.12.11,1. Family Checking,-5
2019.07.20,1. Family Checking,-22.38
-,Expenditures:Groceries,-22.38
2019.12.02,1. Family Checking,-117.7
-,Bills:Water/Sewer,-117.7
2019.05.21,1. Family Checking,-21.16
-,Automotive:Fuel: Nick,-21.16
2019.03.09,1. Family Checking,5.99
-,Income:Returns,5.99
2019.04.25,1. Family Checking,3.21
-,Income:Returns,3.21
2019.03.15,1. Family Checking,-62.99
-,Expenditures:General Merchandise,-62.99
2019.01.25,1. Family Checking,-20.76
-,Expenditures:General Merchandise,-20.76
2019.01.29,1. Family Checking,-8.67
-,Work:Non-Reimbursed Expense,-8.67
2019.12.31,1. Family Checking,-153.7
-,Bills:Electric,-153.7
2019.06.11,1. Family Checking,-85.9
-,Expenditures:General Merchandise,-85.9
2019.07.01,1. Family Checking,-97.67
2019.09.17,1. Family Checking,-1.11
-,Expenditures:Dining,-1.11
2019.01.23,1. Family Checking,3353.41
-,Income:Paycheck,3353.41
2019.09.23,1. Family Checking,-37.1
-,Expenditures:Groceries,-37.1
2019.11.13,1. Family Checking,-2.53
-,Expenditures:Dining,-2.53
2019.09.04,1. Family Checking,-52.54
-,Expenditures:Home Improvement,-52.54
2019.08.09,1. Family Checking,-20.7
-,Automotive:Fuel: Nick,-20.7
2019.11.29,1. Family Checking,-63.17
-,Expenditures:General Merchandise,-63.17
2019.09.13,1. Family Checking,-33
-,Expenditures:ATM Withdrawal,-33
2019.10.13,1. Family Checking,-31.45
-,Expenditures:Dining,-31.45
2019.05.29,1. Family Checking,-74.95
2019.02.26,1. Family Checking,-63.08
-,Expenditures:General Merchandise,-63.08
2019.05.29,1. Family Checking,-13.14
-,Expenditures:General Merchandise,-13.14
2019.03.30,1. Family Checking,-21.81
-,Automotive:Fuel: Nick,-21.81
2019.03.11,1. Family Checking,-62.75
-,Expenditures:Groceries,-62.75
2019.10.14,1. Family Checking,-4.99
-,Expenditures:General Merchandise,-4.99
2019.08.10,1. Family Checking,36.83
-,Income:Returns,36.83
2019.07.31,1. Family Checking,12300
-,Income:Other Income,12300
2019.08.06,1. Family Checking,-14.53
-,Expenditures:General Merchandise,-14.53
2019.08.18,1. Family Checking,-4.21
-,Expenditures:General Merchandise,-4.21
2019.04.23,1. Family Checking,-12.49
-,Expenditures:Dining,-12.49
2019.12.10,1. Family Checking,-40.2
-,Expenditures:Groceries,-40.2
2019.01.08,1. Family Checking,29.47
-,Income:Returns,29.47
2019.03.15,1. Family Checking,-26.24
-,Automotive:Fuel: Nick,-26.24
2019.10.05,1. Family Checking,-25.88
-,Expenditures:Dining,-25.88
2019.10.24,1. Family Checking,-18.86
-,Automotive:Fuel: Nick,-18.86
2019.07.05,1. Family Checking,-10.52
-,Expenditures:General Merchandise,-10.52
2019.08.28,1. Family Checking,-2.04
2019.08.05,1. Family Checking,11.02
2019.10.19,1. Family Checking,-7.52
-,Expenditures:General Merchandise,-7.52
2019.04.01,1. Family Checking,-20
2019.11.19,1. Family Checking,-54.27
-,Expenditures:General Merchandise,-54.27
2019.07.31,1. Family Checking,-12353.33
-,Bills:Loan,-12353.33
2019.08.29,1. Family Checking,-2000
2019.07.21,1. Family Checking,-23
2019.08.10,1. Family Checking,-20.88
-,Expenditures:Groceries,-20.88
2019.01.14,1. Family Checking,-12.08
-,Expenditures:General Merchandise,-12.08
2019.01.25,1. Family Checking,-28.14
-,Expenditures:Dining,-28.14
2019.02.21,1. Family Checking,9.47
-,Income:Returns,9.47
2019.08.26,1. Family Checking,-111.54
-,Expenditures:Groceries,-111.54
2019.08.09,1. Family Checking,-21.28
-,Expenditures:Dining,-21.28
2019.07.29,1. Family Checking,-74.95
2019.10.11,1. Family Checking,-54.42
-,Expenditures:General Merchandise,-54.42
2019.12.26,1. Family Checking,4349.37
-,Income:Paycheck,4349.37
2019.11.22,1. Family Checking,-45
-,"Automotive:Taxes, Titling, Registration",-45
2019.06.18,1. Family Checking,-15.97
-,Expenditures:Groceries,-15.97
2019.07.08,1. Family Checking,-4.88
-,Expenditures:General Merchandise,-4.88
2019.04.20,1. Family Checking,25.26
-,Income:Returns,25.26
2019.10.05,1. Family Checking,7.54
-,Income:Returns,7.54
2019.09.24,1. Family Checking,-28.33
-,Education:Books,-28.33
2019.11.15,1. Family Checking,-1448.26
-,Expenditures:Other,-1448.26
2019.02.18,1. Family Checking,-16.67
-,Expenditures:Groceries,-16.67
2019.01.25,1. Family Checking,-26.96
-,Expenditures:Dining,-26.96
2019.06.08,1. Family Checking,-35.3
-,Expenditures:Dining,-35.3
2019.07.12,1. Family Checking,-131.84
-,Expenditures:Groceries,-131.84
2019.01.10,1. Family Checking,-4.71
-,Expenditures:Groceries,-4.71
2019.04.01,1. Family Checking,-25
2019.10.30,1. Family Checking,-200
2019.09.08,1. Family Checking,-19.02
-,Expenditures:Entertainment,-19.02
2019.08.22,1. Family Checking,-8.41
2019.10.13,1. Family Checking,-109.12
-,Expenditures:Groceries,-109.12
2019.05.02,1. Family Checking,-4677
-,Education:Tuition,-4677
2019.04.07,1. Family Checking,-16.82
-,Expenditures:General Merchandise,-16.82
2019.07.15,1. Family Checking,-4.41
-,Expenditures:Entertainment,-4.41
2019.08.30,1. Family Checking,-39.75
-,"Automotive:Taxes, Titling, Registration",-39.75
2019.08.19,1. Family Checking,-13.68
-,Expenditures:General Merchandise,-13.68
2019.11.13,1. Family Checking,-44.99
2019.10.24,1. Family Checking,0.05
-,Income:Interest Received,0.05
2019.08.04,1. Family Checking,-51.33
-,Expenditures:Home Improvement,-51.33
2019.08.26,1. Family Checking,-6.14
-,Expenditures:Groceries,-6.14
2019.04.15,1. Family Checking,-4.85
-,Work:Non-Reimbursed Expense,-4.85
2019.06.06,1. Family Checking,-115
2019.12.09,1. Family Checking,-20.27
2019.03.20,1. Family Checking,-21.28
-,Automotive:Fuel: Nick,-21.28
2019.03.16,1. Family Checking,-82.02
-,Expenditures:Groceries,-82.02
2019.04.29,1. Family Checking,7.36
2019.04.18,1. Family Checking,-13.81
-,Expenditures:General Merchandise,-13.81
2019.01.22,1. Family Checking,-18.98
-,Automotive:Fuel: Nick,-18.98
2019.11.17,1. Family Checking,-17.93
-,Expenditures:General Merchandise,-17.93
2019.07.20,1. Family Checking,-4.99
-,Expenditures:Entertainment,-4.99
2019.08.09,1. Family Checking,-67.34
-,Expenditures:General Merchandise,-67.34
2019.05.07,1. Family Checking,-12.85
-,Expenditures:General Merchandise,-12.85
2019.09.08,1. Family Checking,-36.1
-,Expenditures:Dining,-36.1
2019.08.12,1. Family Checking,-3.39
-,Expenditures:Dining,-3.39
2019.04.13,1. Family Checking,-34.99
-,Expenditures:General Merchandise,-34.99
2019.06.22,1. Family Checking,-4.87
-,Expenditures:Groceries,-4.87
2019.02.18,1. Family Checking,-14.8
-,Expenditures:Dining,-14.8
2019.07.13,1. Family Checking,-40.44
-,Expenditures:Home Improvement,-40.44
2019.01.11,1. Family Checking,-8.99
-,Expenditures:General Merchandise,-8.99
2019.05.11,1. Family Checking,8.26
-,Income:Returns,8.26
2019.01.31,1. Family Checking,-15.9
-,Automotive:Fuel: Bethaney,-15.9
2019.05.16,1. Family Checking,-20.63
-,Automotive:Fuel: Nick,-20.63
2019.05.30,1. Family Checking,-14.68
-,Expenditures:General Merchandise,-14.68
2019.07.27,1. Family Checking,-38.2
-,Expenditures:General Merchandise,-38.2
2019.04.17,1. Family Checking,-3.61
-,Expenditures:General Merchandise,-3.61
2019.03.15,1. Family Checking,-8.36
-,Work:Non-Reimbursed Expense,-8.36
2019.03.16,1. Family Checking,-41.04
-,Expenditures:Dining,-41.04
2019.07.29,1. Family Checking,-38.84
-,Expenditures:Pet Care,-38.84
2019.09.11,1. Family Checking,-29.69
-,Expenditures:General Merchandise,-29.69
2019.05.13,1. Family Checking,-53.98
-,Bills:Cable,-53.98
2019.01.14,1. Family Checking,-10.92
-,Expenditures:General Merchandise,-10.92
2019.11.15,1. Family Checking,-10
2019.09.30,1. Family Checking,-1.59
-,Expenditures:Dining,-1.59
2019.08.29,1. Family Checking,-39.79
-,Expenditures:Dining,-39.79
2019.07.05,1. Family Checking,-12.59
-,Expenditures:Dining,-12.59
2019.06.22,1. Family Checking,-4.21
-,Expenditures:Entertainment,-4.21
2019.08.29,1. Family Checking,-23.98
-,Automotive:Fuel: Nick,-23.98
2019.09.15,1. Family Checking,-2.11
2019.04.17,1. Family Checking,-72.7
-,Expenditures:Groceries,-72.7
2019.09.08,1. Family Checking,6.28
-,Income:Returns,6.28
2019.11.22,1. Family Checking,-20.96
-,Automotive:Fuel: Nick,-20.96
2019.01.22,1. Family Checking,-20.78
-,Expenditures:Dining,-20.78
2019.11.04,1. Family Checking,-50
-,5. Isabella Checking,-50
2019.03.15,1. Family Checking,14.2
-,Income:Returns,14.2
2019.08.06,1. Family Checking,18.54
-,5. Isabella Checking,18.54
2019.03.01,1. Family Checking,-200
2019.08.09,1. Family Checking,-7.75
-,Expenditures:General Merchandise,-7.75
2019.04.01,1. Family Checking,-124.61
-,Bills:Phone,-124.61
2019.09.30,1. Family Checking,-202.01
-,Bills:Electric,-202.01
2019.10.19,1. Family Checking,-25.06
-,Expenditures:Dining,-25.06
2019.04.07,1. Family Checking,-10.4
-,Expenditures:Dining,-10.4
2019.11.24,1. Family Checking,-3.21
-,Expenditures:Dining,-3.21
2019.08.04,1. Family Checking,-36.84
-,Expenditures:Home Improvement,-36.84
2019.03.01,1. Family Checking,-25
2019.09.13,1. Family Checking,12.76
-,Income:Other Income,12.76
2019.01.28,1. Family Checking,-100.85
-,Expenditures:Groceries,-100.85
2019.02.10,1. Family Checking,-51.02
-,Expenditures:Dining,-51.02
2019.05.16,1. Family Checking,-20
2019.08.19,1. Family Checking,-19.52
-,Expenditures:General Merchandise,-19.52
2019.07.29,1. Family Checking,-39.75
2019.07.29,1. Family Checking,-16.55
-,Expenditures:General Merchandise,-16.55
2019.09.10,1. Family Checking,-17.27
-,Expenditures:Dining,-17.27
2019.12.07,1. Family Checking,-19.5
-,Expenditures:Groceries,-19.5
2019.12.15,1. Family Checking,-15
-,Expenditures:General Merchandise,-15
2019.07.09,1. Family Checking,-7.16
-,Expenditures:Groceries,-7.16
2019.07.01,1. Family Checking,-100
2019.02.20,1. Family Checking,-160
-,Education:Piano Lessons,-160
2019.03.29,1. Family Checking,-2000
-,Bills:Mortgage,-2000
2019.05.01,1. Family Checking,-25
2019.06.23,1. Family Checking,-20.89
-,Expenditures:General Merchandise,-20.89
2019.08.15,1. Family Checking,-18.23
-,Automotive:Fuel: Nick,-18.23
2019.09.04,1. Family Checking,-56.94
-,Expenditures:Groceries,-56.94
2019.12.27,1. Family Checking,-74.95
-,Bills:Cable,-74.95
2019.11.27,1. Family Checking,-58.65
-,Expenditures:Groceries,-58.65
2019.05.05,1. Family Checking,-301.52
2019.03.09,1. Family Checking,-1.33
-,Expenditures:Dining,-1.33
2019.11.25,1. Family Checking,-4.73
-,Expenditures:General Merchandise,-4.73
2019.01.10,1. Family Checking,-36.84
-,Work:Non-Reimbursed Expense,-36.84
2019.09.30,1. Family Checking,-3.13
2019.08.10,1. Family Checking,-156.69
-,Expenditures:Groceries,-156.69
2019.07.05,1. Family Checking,-10.34
-,Expenditures:General Merchandise,-10.34
2019.12.02,1. Family Checking,-29.95
-,Automotive,-29.95
2019.06.28,1. Family Checking,3877.7
-,Income:Paycheck,3877.7
2019.04.05,1. Family Checking,-107.35
-,Bills:Water/Sewer,-107.35
2019.12.26,1. Family Checking,29.58
-,Income:Paycheck,29.58
2019.06.20,1. Family Checking,11.02
2019.08.06,1. Family Checking,-19.3
-,Expenditures:Entertainment,-19.3
2019.10.18,1. Family Checking,-5.22
-,Expenditures:Dining,-5.22
2019.04.07,1. Family Checking,-8.94
-,Expenditures:General Merchandise,-8.94
2019.12.27,1. Family Checking,-29.99
-,Expenditures:Home Improvement,-29.99
2019.09.27,1. Family Checking,22.04
-,Income:Paycheck,22.04
2019.10.04,1. Family Checking,-7.99
-,Expenditures:General Merchandise,-7.99
2019.07.23,1. Family Checking,11.02
2019.12.11,1. Family Checking,-140.34
-,Bills:Electric,-140.34
2019.01.09,1. Family Checking,-13.24
-,Expenditures:Pet Care,-13.24
2019.11.28,1. Family Checking,-100
2019.11.24,1. Family Checking,-20.99
-,Expenditures:General Merchandise,-20.99
2019.08.10,1. Family Checking,-18.7
-,Expenditures:Home Improvement,-18.7
2019.12.30,1. Family Checking,-65.34
-,Expenditures:Groceries,-65.34
2019.12.06,1. Family Checking,-5
2019.05.25,1. Family Checking,-4.21
2019.05.13,1. Family Checking,-36.84
-,Expenditures:Pet Care,-36.84
2019.03.01,1. Family Checking,-12.07
-,Work:Non-Reimbursed Expense,-12.07
2019.07.17,1. Family Checking,-15.25
-,Credit Card:Pet Care,-15.25
2019.03.11,1. Family Checking,26.59
-,Income:Returns,26.59
2019.05.21,1. Family Checking,-1.84
2019.12.15,1. Family Checking,-7.87
-,Expenditures:General Merchandise,-7.87
2019.10.01,1. Family Checking,-160
-,Bills: HOA,-160
2019.09.05,1. Family Checking,-10
-,Education:Fees,-10
2019.12.03,1. Family Checking,-7.96
-,Expenditures,-7.96
2019.12.27,1. Family Checking,-5
-,Education:Books,-5
2019.07.01,1. Family Checking,-178.63
-,Bills:Electric,-178.63
2019.07.31,1. Family Checking,-5.16
-,Expenditures:Dining,-5.16
2019.10.10,1. Family Checking,-4.69
-,Expenditures:General Merchandise,-4.69
2019.11.13,1. Family Checking,-33.71
-,Expenditures:General Merchandise,-33.71
2019.08.27,1. Family Checking,-42.98
-,Expenditures:General Merchandise,-42.98
2019.03.25,1. Family Checking,-19.03
-,Automotive:Fuel: Nick,-19.03
2019.09.25,1. Family Checking,11.02
-,Income:Paycheck,11.02
2019.02.11,1. Family Checking,-52.47
-,Expenditures:Groceries,-52.47
2019.04.01,1. Family Checking,-14.95
-,Automotive:Fuel: Nick,-14.95
2019.07.30,1. Family Checking,-20.45
-,Automotive:Fuel: Nick,-20.45
2019.11.22,1. Family Checking,-2.94
-,Expenditures:Dining,-2.94
2019.06.30,1. Family Checking,-2.09
-,Expenditures:General Merchandise,-2.09
2019.12.04,1. Family Checking,-47.79
-,Expenditures:Pet Care,-47.79
2019.08.28,1. Family Checking,-100
2019.04.17,1. Family Checking,-6.99
-,Expenditures:Groceries,-6.99
2019.12.14,1. Family Checking,-21.05
2019.11.04,1. Family Checking,-22.76
-,Expenditures:Groceries,-22.76
2019.05.17,1. Family Checking,-20.18
2019.12.05,1. Family Checking,13.26
-,Income:Returns,13.26
2019.05.29,1. Family Checking,-200
2019.06.27,1. Family Checking,-24.67
-,Expenditures:General Merchandise,-24.67
2019.04.29,1. Family Checking,-52.91
-,Expenditures:General Merchandise,-52.91
2019.07.06,1. Family Checking,-12.58
-,Expenditures:Dining,-12.58
2019.02.28,1. Family Checking,-18.08
-,Automotive:Fuel: Nick,-18.08
2019.06.15,1. Family Checking,-21.51
-,Automotive:Fuel: Bethaney,-21.51
2019.10.13,1. Family Checking,15.89
-,Income:Returns,15.89
2019.06.02,1. Family Checking,-15.59
-,Expenditures:Dining,-15.59
2019.09.01,1. Family Checking,-97.67
2019.10.06,1. Family Checking,-6.31
-,Expenditures:General Merchandise,-6.31
2019.12.10,1. Family Checking,-24.5
-,Expenditures:Groceries,-24.5
2019.12.18,1. Family Checking,-13.68
-,Expenditures:General Merchandise,-13.68
2019.04.13,1. Family Checking,11.42
-,Income:Returns,11.42
2019.04.13,1. Family Checking,-32.64
-,Expenditures:Groceries,-32.64
2019.02.25,1. Family Checking,-24.96
-,Expenditures:General Merchandise,-24.96
2019.08.18,1. Family Checking,-31.45
-,Expenditures:General Merchandise,-31.45
2019.11.04,1. Family Checking,-40.19
-,Expenditures:General Merchandise,-40.19
2019.03.04,1. Family Checking,-24.4
-,Automotive:Fuel: Bethaney,-24.4
2019.09.20,1. Family Checking,3
2019.07.25,1. Family Checking,-33.03
-,Expenditures:General Merchandise,-33.03
2019.04.28,1. Family Checking,-93.67
-,Expenditures:Groceries,-93.67
2019.03.01,1. Family Checking,-124.57
2019.06.28,1. Family Checking,-74.95
2019.09.16,1. Family Checking,-22.77
-,Automotive:Fuel: Nick,-22.77
2019.12.21,1. Family Checking,27.21
-,Income:Returns,27.21
2019.03.19,1. Family Checking,-37.69
-,Expenditures:Groceries,-37.69
2019.10.08,1. Family Checking,-1.29
2019.11.27,1. Family Checking,-8.61
-,Expenditures:Dining,-8.61
2019.01.28,1. Family Checking,-150
-,Investments:VA 529,-150
2019.07.03,1. Family Checking,-109.64
-,Bills:Water/Sewer,-109.64
2019.12.03,1. Family Checking,-20.45
-,Automotive:Fuel: Nick,-20.45
2019.09.08,1. Family Checking,-38.97
-,Expenditures:General Merchandise,-38.97
2019.12.12,1. Family Checking,-28.4
-,Expenditures:General Merchandise,-28.4
2019.11.27,1. Family Checking,-14.46
-,Expenditures:General Merchandise,-14.46
2019.11.02,1. Family Checking,-15.55
-,Expenditures:General Merchandise,-15.55
2019.11.24,1. Family Checking,-26.31
-,Expenditures:General Merchandise,-26.31
2019.06.26,1. Family Checking,-13.24
-,Expenditures:Groceries,-13.24
2019.09.23,1. Family Checking,-64.21
-,Expenditures:General Merchandise,-64.21
2019.09.29,1. Family Checking,-6.89
-,Expenditures:Dining,-6.89
2019.03.24,1. Family Checking,-3.69
-,Expenditures:Home Improvement,-3.69
2019.08.17,1. Family Checking,-21.05
-,Expenditures:General Merchandise,-21.05
2019.06.06,1. Family Checking,-3.92
-,Expenditures:Dining,-3.92
2019.05.18,1. Family Checking,-18.92
-,Expenditures:General Merchandise,-18.92
2019.08.16,1. Family Checking,-50.49
-,Expenditures:Groceries,-50.49
2019.07.07,1. Family Checking,-7.39
-,Expenditures:Home Improvement,-7.39
2019.12.05,1. Family Checking,-25
-,Automotive:Fuel: Bethaney,-25
2019.03.11,1. Family Checking,0.37
-,Income:Other Income,0.37
2019.12.21,1. Family Checking,-26.37
-,Expenditures:Groceries,-26.37
2019.12.09,1. Family Checking,-132.87
-,Expenditures:Groceries,-132.87
2019.11.02,1. Family Checking,8.41
-,Income:Returns,8.41
2019.10.06,1. Family Checking,-115
2019.05.29,1. Family Checking,-2000
2019.10.13,1. Family Checking,-19.25
-,Automotive:Fuel: Bethaney,-19.25
2019.09.30,1. Family Checking,-65.2
-,Expenditures:Groceries,-65.2
2019.07.02,1. Family Checking,-17.87
-,Expenditures:Dining,-17.87
2019.01.28,1. Family Checking,-18.13
-,Automotive:Fuel: Nick,-18.13
2019.02.02,1. Family Checking,-233.83
-,Expenditures:Groceries,-233.83
2019.06.30,1. Family Checking,-36.84
2019.10.05,1. Family Checking,-1.48
2019.10.19,1. Family Checking,-24.16
-,Expenditures:Dining,-24.16
2019.04.13,1. Family Checking,-17.81
-,Expenditures:Dining,-17.81
2019.06.10,1. Family Checking,-48.71
-,Expenditures:General Merchandise,-48.71
2019.06.20,1. Family Checking,-3
-,Expenditures:General Merchandise,-3
2019.12.15,1. Family Checking,-31.59
-,Expenditures:General Merchandise,-31.59
2019.02.28,1. Family Checking,-14.73
-,Expenditures:General Merchandise,-14.73
2019.10.05,1. Family Checking,-1.7
-,Expenditures:Dining,-1.7
2019.07.05,1. Family Checking,-15
-,Expenditures:Entertainment,-15
2019.08.24,1. Family Checking,-22.29
-,Expenditures:General Merchandise,-22.29
2019.12.27,1. Family Checking,6.31
-,Income:Returns,6.31
2019.04.13,1. Family Checking,-86.73
-,Expenditures:Groceries,-86.73
2019.11.04,1. Family Checking,-93.56
-,Expenditures:Groceries,-93.56
2019.11.29,1. Family Checking,3877.69
2019.09.11,1. Family Checking,-20.22
-,Automotive:Fuel: Nick,-20.22
2019.07.29,1. Family Checking,-10.67
-,Expenditures:General Merchandise,-10.67
2019.12.11,1. Family Checking,-5
-,Expenditures:Other,-5
2019.06.28,1. Family Checking,-2000
2019.08.13,1. Family Checking,-79.17
-,Expenditures:Groceries,-79.17
2019.06.10,1. Family Checking,-9.25
-,Expenditures:General Merchandise,-9.25
2019.05.22,1. Family Checking,-14.27
-,Expenditures:Dining,-14.27
2019.05.17,1. Family Checking,-1.29
-,Expenditures:General Merchandise,-1.29
2019.03.23,1. Family Checking,-4.43
-,Expenditures:Dining,-4.43
2019.10.21,1. Family Checking,-17.11
-,Automotive:Fuel: Nick,-17.11
2019.11.15,1. Family Checking,-20.15
-,Expenditures:Dining,-20.15
2019.08.04,1. Family Checking,-13.13
-,Expenditures:Dining,-13.13
2019.06.17,1. Family Checking,-20.08
-,Automotive:Fuel: Nick,-20.08
2019.03.09,1. Family Checking,-39.86
-,Expenditures:General Merchandise,-39.86
2019.12.05,1. Family Checking,-31.53
-,Expenditures:General Merchandise,-31.53
2019.09.01,1. Family Checking,-4.76
-,Expenditures:General Merchandise,-4.76
2019.07.22,1. Family Checking,-22.62
-,Expenditures:General Merchandise,-22.62
2019.10.24,1. Family Checking,-3.29
-,Expenditures:Dining,-3.29
2019.03.09,1. Family Checking,15.76
-,Income:Returns,15.76
2019.04.17,1. Family Checking,-7.19
-,Expenditures:General Merchandise,-7.19
2019.07.24,1. Family Checking,-23.43
-,Expenditures:General Merchandise,-23.43
2019.02.28,1. Family Checking,-2000
2019.05.07,1. Family Checking,-31.85
-,Expenditures:General Merchandise,-31.85
2019.10.10,1. Family Checking,-38.63
-,Expenditures:Groceries,-38.63
2019.10.19,1. Family Checking,-5
2019.10.13,1. Family Checking,-44.99
2019.01.25,1. Family Checking,-41.4
-,Expenditures:Groceries,-41.4
2019.06.15,1. Family Checking,-10.09
-,Expenditures:Dining,-10.09
2019.06.11,1. Family Checking,-1.64
-,Expenditures:Dining,-1.64
2019.08.26,1. Family Checking,-10
-,Expenditures:ATM Withdrawal,-10
2019.06.01,1. Family Checking,-31.34
-,Expenditures:Pet Care,-31.34
2019.05.04,1. Family Checking,-110.47
-,Expenditures:General Merchandise,-110.47
2019.07.22,1. Family Checking,0.03
-,Income:Interest Received,0.03
2019.03.27,1. Family Checking,-15.37
-,Expenditures:General Merchandise,-15.37
2019.02.11,1. Family Checking,-10.47
-,Expenditures:General Merchandise,-10.47
2019.11.20,1. Family Checking,-100
2019.02.21,1. Family Checking,-13.77
-,Expenditures:General Merchandise,-13.77
2019.01.10,1. Family Checking,-18.86
-,Expenditures:Groceries,-18.86
2019.10.14,1. Family Checking,-12.99
2019.10.13,1. Family Checking,-16.07
-,Expenditures:General Merchandise,-16.07
2019.06.28,1. Family Checking,-300
-,1. USAA Visa Credit Card,-300
2019.04.06,1. Family Checking,-17.89
-,Expenditures:General Merchandise,-17.89
2019.07.03,1. Family Checking,-14.77
-,Expenditures:Dining,-14.77
2019.10.24,1. Family Checking,-2.54
-,Expenditures:Dining,-2.54
2019.09.13,1. Family Checking,-22.02
-,Expenditures:General Merchandise,-22.02
2019.03.30,1. Family Checking,-29.45
-,Expenditures:Dining,-29.45
2019.12.13,1. Family Checking,-12.72
-,Expenditures:Home Improvement,-12.72
2019.09.22,1. Family Checking,-8.18
-,Expenditures:General Merchandise,-8.18
2019.02.17,1. Family Checking,-5.72
-,Expenditures:General Merchandise,-5.72
2019.06.13,1. Family Checking,-1.64
2019.07.16,1. Family Checking,-17.9
-,Expenditures:Home Improvement,-17.9
2019.07.16,1. Family Checking,-19.92
-,Expenditures:General Merchandise,-19.92
2019.01.04,1. Family Checking,-16.54
-,Work:Non-Reimbursed Expense:Supplies,-16.54
2019.03.05,1. Family Checking,-301.52
2019.03.06,1. Family Checking,-115
2019.06.25,1. Family Checking,-19
-,Expenditures:Groceries,-19
2019.12.12,1. Family Checking,-44.99
2019.03.06,1. Family Checking,-2.62
-,Expenditures:General Merchandise,-2.62
2019.11.27,1. Family Checking,-8
-,"Automotive:Taxes, Titling, Registration",-8
2019.08.12,1. Family Checking,-642.92
-,1. USAA Visa Credit Card,-642.92
2019.12.01,1. Family Checking,-20.01
-,Automotive:Fuel: Bethaney,-20.01
2019.06.27,1. Family Checking,-1.59
-,Work:Non-Reimbursed Expense,-1.59
2019.12.14,1. Family Checking,-32.74
-,Expenditures:Dining,-32.74
2019.05.29,1. Family Checking,-20.06
-,Automotive:Fuel: Nick,-20.06
2019.03.03,1. Family Checking,-15.88
-,Expenditures:General Merchandise,-15.88
2019.10.16,1. Family Checking,-12.8
-,Expenditures:Groceries,-12.8
2019.12.28,1. Family Checking,-200
-,Investments:VA 529,-200
2019.06.20,1. Family Checking,0.02
-,Income:Interest Received,0.02
2019.01.07,1. Family Checking,-19.32
-,Expenditures:General Merchandise,-19.32
2019.01.19,1. Family Checking,7.13
-,Income:Returns,7.13
2019.03.15,1. Family Checking,-23
2019.08.18,1. Family Checking,-10.2
-,Expenditures:General Merchandise,-10.2
2019.07.30,1. Family Checking,-13.77
-,Expenditures:Entertainment,-13.77
2019.12.09,1. Family Checking,-63.59
2019.06.03,1. Family Checking,-2.11
2019.10.01,1. Family Checking,3.66
-,Income:Returns,3.66
2019.06.03,1. Family Checking,-130.99
-,Bills:Electric,-130.99
2019.05.10,1. Family Checking,-25.78
-,Expenditures:General Merchandise,-25.78
2019.04.21,1. Family Checking,7.81
-,Income:Returns,7.81
2019.07.07,1. Family Checking,-11.51
-,Expenditures:Entertainment,-11.51
2019.12.12,1. Family Checking,-17.02
-,Expenditures:Groceries,-17.02
2019.05.27,1. Family Checking,-16.01
-,Automotive:Fuel: Nick,-16.01
2019.06.02,1. Family Checking,-11.5
-,Expenditures:Home Improvement,-11.5
2019.10.27,1. Family Checking,-42.11
-,Expenditures:General Merchandise,-42.11
2019.03.02,1. Family Checking,-31.17
-,Expenditures:Dining,-31.17
2019.10.01,1. Family Checking,-3.39
2019.09.20,1. Family Checking,-3.82
-,Expenditures:Dining,-3.82
